text,labels,use_case
Develop a web platform for e-commerce with file sharing,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Develop a streaming data platform for ETL,"Lambda,S3,IAM,SQS",data_processing
Create a Vue.js website that needs transaction history and fast page loads,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Create a web API without managing servers,"Lambda,API_Gateway,IAM,DynamoDB",serverless
Create a RESTful API that handles {feature} and stores data in user data,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Develop a streaming data platform for ETL,"Lambda,S3,IAM,SQS",data_processing
Develop a serverless API for IoT devices,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Develop a web platform for social media with real-time updates,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Host multiple containerized applications,"ECS,VPC,IAM,RDS,CloudFront",web_application
Develop a serverless API for IoT devices,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Develop a web platform for booking system with chat functionality,"EC2,IAM,S3,RDS,CloudFront",web_application
Build a large-scale web application with social login and document storage,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Build a backend for a mobile app that needs chat functionality,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create a Vue.js website that needs product catalog and edge caching,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Develop a streaming data platform for analytics,"Lambda,S3,IAM,SQS",data_processing
Run containerized batch processing jobs,"ECS,S3,VPC,IAM,SQS",data_processing
Develop a medium API gateway for booking system,"API_Gateway,Lambda,IAM,CloudFront",api_service
Build a backend for a mobile app that needs real-time updates,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create a high-traffic mobile API with social login and SMS notifications,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create a batch batch processing system for CRM,"Lambda,S3,IAM,SQS,RDS",data_processing
Develop a web platform for e-commerce with payment processing,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Build a Kubernetes-based application with multiple services,"ECS,VPC,IAM,RDS,S3",web_application
Develop a mobile backend for messaging with product catalog,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Archive old documents and files,"S3,IAM",data_processing
Build a data pipeline to process sensor data and store in media storage,"Lambda,S3,IAM,SQS",data_processing
Build a serverless application for e-commerce,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Develop a web platform for booking system with payment processing,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Add persistent disk space to EC2 instance,"EC2,EBS,VPC,IAM",web_application
Build a serverless API for CRM with user data,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Develop a serverless API for machine learning,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Create a daily batch processing system for CRM,"Lambda,S3,IAM,DynamoDB",data_processing
Create a daily batch processing system for inventory management,"Lambda,S3,IAM,SQS,VPC",data_processing
Build a serverless API for booking system with user data,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Create an event-driven system that generates reports,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Create a Next.js website that needs transaction history and edge caching,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Develop a mobile backend for social networking with user data,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Build a data pipeline to process logs and store in file uploads,"Lambda,S3,IAM,SQS,CloudFront",data_processing
Create a batch batch processing system for e-commerce,"Lambda,S3,IAM,SQS",data_processing
Develop a web platform for e-commerce with real-time updates,"EC2,VPC,IAM,S3,RDS,SQS",web_application
Develop a serverless API for machine learning,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Build a backend for a mobile app that needs real-time updates,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create a hourly batch processing system for inventory management,"Lambda,S3,IAM,SQS",data_processing
